Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.16    0.00 189431298/196449688     std::_List_iterator<int>::operator!=(std::_List_iterator<int> const&) const [16]
                0.14    0.00 210638674/218244349     std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::operator[](unsigned int) [17]
                0.11    0.00 168223922/178455208     std::_List_iterator<int>::operator*() const [19]
                0.00    0.01 21207376/21790577     std::list<int, std::allocator<int> >::begin() [42]
-----------------------------------------------
                0.00    0.00     564/89228031     SatProblem::initSatCheck(int*) [46]
                0.02    0.00 1319409/89228031     SatProblem::getNsc1(int*, int) [20]
                0.06    0.00 3796097/89228031     SatProblem::afterFlip(int*, int) [18]
                1.42    0.00 84111961/89228031     SatProblem::getNsc2(int*, int) [10]
[11]     0.2    1.51    0.00 89228031         SatProblem::isSatCnj(int*, int) [11]
-----------------------------------------------
                0.00    0.00     274/174659111     SatProblem::setClause(int, int) [49]
                0.01    0.00 2638818/174659111     SatProblem::getNsc1(int*, int) [20]
                0.02    0.00 3796097/174659111     SatProblem::afterFlip(int*, int) [18]
                0.94    0.00 168223922/174659111     SatProblem::getNsc2(int*, int) [10]
[12]     0.2    0.98    0.00 174659111         std::_List_iterator<int>::operator++(int) [12]
-----------------------------------------------
                0.00    0.00     307/196453498     SatProblem::setClause(int, int) [49]
                0.00    0.00    3810/196453498     std::list<int, std::allocator<int> >::push_back(int const&) [47]
                0.00    0.00 2838858/196453498     SatProblem::getNsc1(int*, int) [20]
                0.00    0.00 4179225/196453498     SatProblem::afterFlip(int*, int) [18]
                0.21    0.06 189431298/196453498     SatProblem::getNsc2(int*, int) [10]
[13]     0.0    0.22    0.06 196453498         std::list<int, std::allocator<int> >::end() [13]
                0.06    0.00 196453498/218244075     std::_List_iterator<int>::_List_iterator(std::_List_node_base*) [21]
-----------------------------------------------
                0.07    0.20   50010/50010       SampleSAT::walk() [8]
[14]     0.0    0.07    0.20   50010         SampleSAT::randomWalk() [14]
                0.01    0.08   50010/50010       SatProblem::getNsc1(int*, int) [20]
                0.05    0.00 56611320/56611320     SatProblem::getClVecSize() [22]
