Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.34     0.00        1     0.00     0.00  global constructors keyed to SampleSAT::SampleSAT(SatProblem*, samplesatparams*)
  0.00      1.34     0.00        1     0.00     0.00  global constructors keyed to cnffilename
  0.00      1.34     0.00        1     0.00     0.00  printlParameters(learnparams*)
  0.00      1.34     0.00        1     0.00     0.00  printssParameters(samplesatparams*)
  0.00      1.34     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.34     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.34     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.34     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.34     0.00        1     0.00     0.00  SatProblem::parseCnfFile(char*)
  0.00      1.34     0.00        1     0.00     0.00  SatProblem::parseSliFile(char*)
  0.00      1.34     0.00        1     0.00     0.00  SatProblem::parseProbFile(char*)
  0.00      1.34     0.00        1     0.00     0.00  SatProblem::allocate()
  0.00      1.34     0.00        1     0.00     0.02  SatProblem::SatProblem(unsigned long)
  0.00      1.34     0.00        1     0.00     0.00  SatProblem::~SatProblem()
  0.00      1.34     0.00        1     0.00     0.00  SliceSampling::init()
  0.00      1.34     0.00        1     0.00     1.32  SliceSampling::learn(int*, char*, int)
  0.00      1.34     0.00        1     0.00     0.00  SliceSampling::readdata(char*)
  0.00      1.34     0.00        1     0.00     0.00  SliceSampling::lallocate(int)
  0.00      1.34     0.00        1     0.00     0.00  SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00      1.34     0.00        1     0.00     0.00  SliceSampling::~SliceSampling()
  0.00      1.34     0.00        1     0.00     0.00  Random::sgenrand(unsigned long)
